Date	USGG10YR Index	GDBR10 Index	GUKG10 Index
01-Jan-1980	10.31	7.851	14.801
08-Jan-1980	10.553	7.951	14.697
15-Jan-1980	10.63	8.126	14.132
22-Jan-1980	10.827	8.146	13.836
29-Jan-1980	11.186	8.1	13.982
05-Feb-1980	11.707	8.145	14.535
12-Feb-1980	11.983	8.174	14.331
19-Feb-1980	12.825	8.312	14.23
26-Feb-1980	13.636	8.729	14.205
04-Mar-1980	12.904	9.011	14.485
11-Mar-1980	12.38	9.244	14.358
18-Mar-1980	12.37	9.269	14.308
25-Mar-1980	13.065	9.681	14.157
01-Apr-1980	12.654	9.754	14.008
08-Apr-1980	12.172	9.76	13.935
15-Apr-1980	11.539	9.54	13.451
22-Apr-1980	10.782	8.895	13.38
29-Apr-1980	10.625	8.935	13.334
06-May-1980	9.711	8.921	13.008
13-May-1980	10.078	8.639	13.031
20-May-1980	10.179	8.519	13.194
27-May-1980	9.92	8.281	12.802
03-Jun-1980	9.731	8.423	12.987
10-Jun-1980	9.3	8.278	13.96
17-Jun-1980	9.113	8.127	13.278
24-Jun-1980	9.195	8.012	13.276
01-Jul-1980	9.494	8.03	13.37
08-Jul-1980	9.496	8.041	12.945
15-Jul-1980	9.571	8.024	12.691
22-Jul-1980	9.69	7.924	12.463
29-Jul-1980	9.908	7.783	12.597
05-Aug-1980	10.163	7.873	13.313
12-Aug-1980	10.527	7.697	13.265
19-Aug-1980	10.749	7.87	13.314
26-Aug-1980	10.8	7.943	13.436
02-Sep-1980	11.311	8.107	13.461
09-Sep-1980	11.17	8.136	12.797
16-Sep-1980	11.499	8.272	13.055
23-Sep-1980	11.733	8.218	13.127
30-Sep-1980	11.836	8.426	13.01
07-Oct-1980	11.401	8.156	12.708
14-Oct-1980	11.346	8.224	12.686
21-Oct-1980	11.67	8.355	12.756
28-Oct-1980	12.296	8.614	12.665
04-Nov-1980	12.429	8.678	12.898
11-Nov-1980	12.625	8.847	12.737
18-Nov-1980	12.308	8.71	12.44
25-Nov-1980	12.436	8.663	12.74
02-Dec-1980	12.905	8.569	12.672
09-Dec-1980	13.086	8.646	14.067
16-Dec-1980	13.486	8.941	14.436
23-Dec-1980	12.331	9.039	14.172
30-Dec-1980	12.367	9.023	14.251
06-Jan-1981	12.097	8.869	14.069
13-Jan-1981	12.518	8.901	14.226
20-Jan-1981	12.483	8.999	14.122
27-Jan-1981	12.715	9.032	13.942
03-Feb-1981	12.951	9.206	13.789
10-Feb-1981	13.257	9.657	13.815
17-Feb-1981	13.299	9.798	13.714
24-Feb-1981	13.181	10.175	13.514
03-Mar-1981	13.411	10.445	13.59
10-Mar-1981	13.043	10.234	13.541
17-Mar-1981	12.644	9.975	13.294
24-Mar-1981	13.272	9.865	13.124
31-Mar-1981	13.101	9.993	13.149
07-Apr-1981	13.385	10.028	13.274
14-Apr-1981	13.553	10.08	13.251
21-Apr-1981	13.713	10.063	13.105
28-Apr-1981	13.912	10.046	13.279
05-May-1981	14.651	10.31	13.734
12-May-1981	14.341	10.302	13.866
19-May-1981	13.781	10.338	13.561
26-May-1981	13.596	10.6	13.691
02-Jun-1981	13.572	10.739	14.689
09-Jun-1981	13.358	10.676	15.228
16-Jun-1981	13.073	10.227	14.886
23-Jun-1981	13.545	10.282	14.859
30-Jun-1981	13.85	10.319	14.945
07-Jul-1981	14.018	10.51	15.321
14-Jul-1981	14.135	10.557	15.381
21-Jul-1981	14.596	10.641	15.62
28-Jul-1981	14.517	10.561	15.211
04-Aug-1981	14.931	10.493	15.477
11-Aug-1981	14.324	10.526	15.128
18-Aug-1981	14.628	10.525	14.93
25-Aug-1981	15.259	10.541	15.279
01-Sep-1981	15.395	10.686	15.107
08-Sep-1981	15.574	10.798	15.168
15-Sep-1981	15.067	10.633	15.495
22-Sep-1981	15.022	10.285	15.439
29-Sep-1981	15.742	10.419	15.865
06-Oct-1981	15.115	10.254	15.808
13-Oct-1981	14.806	10.163	15.303
20-Oct-1981	15.071	10.258	15.665
27-Oct-1981	15.523	10.322	15.884
03-Nov-1981	14.563	10.15	15.931
10-Nov-1981	13.438	10.044	15.779
17-Nov-1981	13.272	9.835	15.418
24-Nov-1981	13.206	9.936	15.302
01-Dec-1981	13.357	9.675	15.395
08-Dec-1981	13.483	9.657	15.488
15-Dec-1981	13.532	9.702	15.767
22-Dec-1981	14.003	9.763	15.895
29-Dec-1981	14.096	9.746	15.713
05-Jan-1982	14.417	9.702	15.779
12-Jan-1982	14.588	9.878	15.63
19-Jan-1982	14.768	9.925	15.184
26-Jan-1982	14.507	9.859	14.983
02-Feb-1982	14.439	9.784	15.361
09-Feb-1982	14.848	9.759	15.362
16-Feb-1982	14.481	9.823	15.171
23-Feb-1982	13.875	9.741	14.43
02-Mar-1982	13.708	9.707	14.103
09-Mar-1982	13.637	9.657	13.882
16-Mar-1982	13.875	9.417	13.638
23-Mar-1982	13.685	9.227	13.266
30-Mar-1982	14.16	9.328	13.617
06-Apr-1982	14.141	9.136	14.063
13-Apr-1982	13.797	8.99	13.955
20-Apr-1982	13.693	8.957	13.764
27-Apr-1982	13.668	8.797	13.631
04-May-1982	13.838	8.765	13.526
11-May-1982	13.508	8.778	13.261
18-May-1982	13.631	8.89	13.238
25-May-1982	13.662	8.904	13.268
01-Jun-1982	13.906	8.801	13.035
08-Jun-1982	13.959	9.026	12.857
15-Jun-1982	14.181	9.143	13.042
22-Jun-1982	14.625	9.295	13.152
29-Jun-1982	14.581	9.375	13.129
06-Jul-1982	14.445	9.363	13.113
13-Jul-1982	13.987	9.289	12.813
20-Jul-1982	13.498	9.239	13.381
27-Jul-1982	13.833	9.133	13.333
03-Aug-1982	13.487	9.052	13.071
10-Aug-1982	13.679	9.223	13.141
17-Aug-1982	12.618	9.093	12.207
24-Aug-1982	12.339	8.764	11.481
31-Aug-1982	12.792	8.803	11.901
07-Sep-1982	12.503	8.792	11.772
14-Sep-1982	12.546	8.845	12.006
21-Sep-1982	12.162	8.637	11.833
28-Sep-1982	12.024	8.62	11.494
05-Oct-1982	12.04	8.53	11.888
12-Oct-1982	11.024	8.423	10.661
19-Oct-1982	11.061	8.294	10.602
26-Oct-1982	11.287	8.218	10.822
02-Nov-1982	10.956	8.262	10.43
