Date	USGG10YR Index	GUKG10 Index	GDBR10 Index
8/17/16	1.5661	0.5627	-0.0501
8/16/16	1.5746	0.5849	-0.0296
8/15/16	1.5576	0.5312	-0.0743
8/12/16	1.5135	0.5178	-0.1085
8/11/16	1.5593	0.5376	-0.0929
8/10/16	1.5074	0.5274	-0.109
8/9/16	1.547	0.5823	-0.0765
8/8/16	1.592	0.6119	-0.0654
8/5/16	1.5885	0.672	-0.0668
8/4/16	1.5008	0.6432	-0.0953
8/3/16	1.542	0.8025	-0.0378
8/2/16	1.5558	0.8082	-0.036
8/1/16	1.5214	0.7304	-0.0982
7/29/16	1.4531	0.6853	-0.1189
7/28/16	1.5044	0.7125	-0.0895
7/27/16	1.4976	0.738	-0.0792
7/26/16	1.5611	0.8224	-0.0272
7/25/16	1.5731	0.8103	-0.0409
7/22/16	1.5663	0.7976	-0.0299
7/21/16	1.556	0.8342	-0.0174
7/20/16	1.5801	0.8351	-0.0114
7/19/16	1.5526	0.8009	-0.0302
7/18/16	1.5818	0.8244	-0.0159
7/15/16	1.5509	0.8339	0.006
7/14/16	1.5356	0.7939	-0.0396
7/13/16	1.4743	0.745	-0.0624
7/12/16	1.51	0.8284	-0.091
7/11/16	1.4303	0.7585	-0.1679
7/8/16	1.3579	0.7353	-0.1887
7/7/16	1.385	0.7807	-0.1701
7/6/16	1.3682	0.7655	-0.1765
7/5/16	1.375	0.7712	-0.1852
7/4/16		0.8326	-0.1407
7/1/16	1.4441	0.863	-0.1261
6/30/16	1.4697	0.8666	-0.1304
6/29/16	1.5155	0.9491	-0.1264
6/28/16	1.4664	0.9607	-0.1117
6/27/16	1.4377	0.9345	-0.116
6/24/16	1.5599	1.0857	-0.0467
6/23/16	1.7458	1.3733	0.0933
6/22/16	1.6852	1.3128	0.061
6/21/16	1.7059	1.2867	0.05
6/20/16	1.6886	1.2384	0.0506
6/17/16	1.6078	1.144	0.0188
6/16/16	1.5788	1.1101	-0.0239
6/15/16	1.572	1.1197	-0.0104
6/14/16	1.613	1.1435	-0.0037
6/13/16	1.6096	1.2088	0.0237
6/10/16	1.6404	1.2318	0.0203
6/9/16	1.6867	1.2429	0.0325
6/8/16	1.7022	1.2531	0.0546
6/7/16	1.7177	1.2666	0.0497
6/6/16	1.7367	1.2796	0.0863
6/3/16	1.7004	1.2764	0.0681
6/2/16	1.7989	1.3444	0.1139
6/1/16	1.8354	1.3731	0.1356
5/31/16	1.8458	1.4288	0.1387
5/30/16			0.1669
5/27/16	1.851	1.4357	0.1379
5/26/16	1.8282	1.415	0.1457
5/25/16	1.8664	1.4556	0.1515
