Date	USGG10YR Index	GUKG10 Index	GDBR10 Index
5/24/16	1.8629	1.4715	0.1771
5/23/16	1.835	1.4491	0.1762
5/20/16	1.8384	1.4515	0.1646
5/19/16	1.8487	1.4391	0.1697
5/18/16	1.8538	1.4381	0.168
5/17/16	1.7723	1.37	0.132
5/16/16	1.7533	1.3947	0.1428
5/13/16	1.7001	1.3765	0.1236
5/12/16	1.7516	1.4043	0.1541
5/11/16	1.7367	1.3922	0.126
5/10/16	1.7613	1.4035	0.1236
5/9/16	1.7507	1.4109	0.1257
5/6/16	1.7789	1.4178	0.1435
5/5/16	1.7453	1.4652	0.1614
5/4/16	1.7752	1.5261	0.2038
5/3/16	1.7963	1.5284	0.2003
5/2/16	1.8723		0.2667
4/29/16	1.8333	1.5964	0.2714
4/28/16	1.8243	1.6082	0.2566
4/27/16	1.8508	1.627	0.2865
4/26/16	1.9271	1.6595	0.2993
4/25/16	1.9128	1.6085	0.2636
4/22/16	1.8878	1.6001	0.231
4/21/16	1.861	1.5914	0.2387
4/20/16	1.845	1.4819	0.1533
4/19/16	1.7851	1.5078	0.1691
4/18/16	1.7711	1.4782	0.1606
4/15/16	1.7518	1.4144	0.1275
4/14/16	1.7919	1.4504	0.1668
4/13/16	1.7639	1.4233	0.1279
4/12/16	1.7761	1.4418	0.1647
4/11/16	1.7254	1.3937	0.1105
4/8/16	1.7167	1.3635	0.0951
4/7/16	1.6889	1.3282	0.0893
4/6/16	1.7549	1.3807	0.1186
4/5/16	1.7201	1.3753	0.0982
4/4/16	1.7618	1.4285	0.1308
4/1/16	1.7705	1.4088	0.1339
3/31/16	1.7687	1.4148	0.1525
3/30/16	1.8228	1.4343	0.1563
3/29/16	1.8035	1.4112	0.1374
3/28/16	1.886		
3/24/16	1.9	1.4528	0.1796
3/23/16	1.8786	1.4491	0.1942
3/22/16	1.9403	1.4565	0.2112
3/21/16	1.9155	1.4771	0.2304
3/18/16	1.8732	1.4485	0.2119
3/17/16	1.8958	1.455	0.2296
3/16/16	1.9081	1.5233	0.3107
3/15/16	1.9699	1.5368	0.3158
3/14/16	1.9592	1.5514	0.2794
3/11/16	1.9839	1.5755	0.2708
3/10/16	1.9323	1.5385	0.3063
3/9/16	1.876	1.4699	0.2404
3/8/16	1.8287	1.3849	0.1818
3/7/16	1.9057	1.4802	0.2244
3/4/16	1.8741	1.4842	0.2376
3/3/16	1.8337	1.4306	0.1691
3/2/16	1.8406	1.4621	0.2063
3/1/16	1.8249	1.3969	0.1456
2/29/16	1.7347	1.3366	0.107
2/26/16	1.7623	1.3989	0.1467
2/25/16	1.7157	1.3639	0.1379
2/24/16	1.7484	1.3608	0.1536
2/23/16	1.7225	1.4336	0.1835
2/22/16	1.7518	1.3938	0.1756
2/19/16	1.7449	1.4142	0.2016
2/18/16	1.7396	1.4453	0.2181
2/17/16	1.819	1.4805	0.2694
2/16/16	1.7723	1.4401	0.2659
2/15/16		1.4304	0.2375
2/12/16	1.7481	1.4136	0.261
2/11/16	1.659	1.304	0.1878
2/10/16	1.6681	1.4126	0.2418
2/9/16	1.726	1.4122	0.2334
2/8/16	1.7483	1.4118	0.2175
2/5/16	1.8357	1.5594	0.2955
2/4/16	1.8395	1.5664	0.3031
2/3/16	1.8861	1.5323	0.2747
2/2/16	1.8448	1.5423	0.3073
2/1/16	1.9486	1.6215	0.3511
1/29/16	1.9209	1.5602	0.325
1/28/16	1.9784	1.6702	0.4042
1/27/16	1.9993	1.7104	0.4434
1/26/16	1.9942	1.6926	0.4459
1/25/16	2.0012	1.6866	0.4714
1/22/16	2.0519	1.7106	0.4836
1/21/16	2.0311	1.6702	0.4511
1/20/16	1.9824	1.6215	0.4821
1/19/16	2.0556	1.6987	0.5486
1/18/16		1.6916	0.5368
1/15/16	2.0347	1.6622	0.5399
1/14/16	2.0874	1.7314	0.5737
1/13/16	2.0927	1.741	0.567
1/12/16	2.1032	1.7472	0.5332
1/11/16	2.1754	1.7774	0.5406
1/8/16	2.1156	1.7696	0.5141
1/7/16	2.1455	1.8029	0.5388
1/6/16	2.1702	1.7928	0.5026
1/5/16	2.2357	1.8738	0.5398
1/4/16	2.2428	1.8761	0.5661
12/31/15	2.2694	1.96	0.6289
12/30/15	2.2943	1.9885	0.6289
12/29/15	2.305	1.9011	0.6293
12/28/15	2.2304		0.5638
12/24/15	2.241	1.9198	0.6411
12/23/15	2.2534	1.938	0.6291
12/22/15	2.2357	1.8754	0.6016
12/21/15	2.1917	1.816	0.5505
12/18/15	2.204	1.8306	0.5475
12/17/15	2.2234	1.8503	0.5988
12/16/15	2.296	1.946	0.6779
12/15/15	2.2658	1.9381	0.6412
12/14/15	2.2217	1.8403	0.5743
12/11/15	2.127	1.813	0.54
12/10/15	2.2305	1.8662	0.5683
12/9/15	2.2164	1.8758	0.5999
12/8/15	2.2182	1.8216	0.5713
12/7/15	2.2288	1.8027	0.5813
12/4/15	2.2693	1.9214	0.6783
12/3/15	2.3136	1.8827	0.6663
12/2/15	2.1797	1.7526	0.4697
12/1/15	2.1431	1.7615	0.4683
11/30/15	2.206	1.8248	0.473
11/27/15	2.2201	1.8159	0.4598
11/26/15		1.8411	0.4702
11/25/15	2.2341	1.8841	0.4706
11/24/15	2.2377	1.8679	0.5171
11/23/15	2.2377	1.8769	0.5296
11/20/15	2.2623	1.8735	0.4793
11/19/15	2.2482	1.8842	0.4789
11/18/15	2.2728	1.9228	0.506
11/17/15	2.2658	1.9762	0.5236
11/16/15	2.2676	1.9391	0.53
11/13/15	2.2658	1.9801	0.5584
11/12/15	2.3116	2.0083	0.6077
11/11/15		2.0513	0.6101
11/10/15	2.3419	2.0264	0.6206
11/9/15	2.3436	2.0354	0.6613
11/6/15	2.3252	2.0382	0.6932
11/5/15	2.2323	1.9673	0.6069
11/4/15	2.225	1.9943	0.5984
11/3/15	2.2105	1.9785	0.5733
11/2/15	2.1709	1.9349	0.5574
10/30/15	2.1421	1.9221	0.5175
10/29/15	2.1725	1.921	0.5304
10/28/15	2.1009	1.7959	0.4385
10/27/15	2.037	1.7631	0.4427
10/26/15	2.0564	1.8296	0.5004
10/23/15	2.0866	1.8606	0.5117
10/22/15	2.0263	1.799	0.4955
10/21/15	2.0228	1.7969	0.568
10/20/15	2.067	1.8553	0.6258
10/19/15	2.0228	1.8222	0.5652
10/16/15	2.0334	1.8014	0.5479
10/15/15	2.0175	1.766	0.5501
10/14/15	1.9718	1.7567	0.5412
10/13/15	2.0439	1.828	0.5869
10/12/15		1.8182	0.5778
10/9/15	2.0881	1.8622	0.6154
10/8/15	2.104	1.8145	0.5857
10/7/15	2.0668	1.8255	0.5927
10/6/15	2.0315	1.7976	0.5964
10/5/15	2.0562	1.7846	0.5663
10/2/15	1.9929	1.7014	0.5099
10/1/15	2.0368	1.7418	0.5359
9/30/15	2.0368	1.762	0.5873
9/29/15	2.0508	1.7555	0.5828
9/28/15	2.0949	1.7708	0.5865
9/25/15	2.1623	1.8397	0.6487
9/24/15	2.1266	1.7547	0.6031
9/23/15	2.1497	1.7956	0.5973
9/22/15	2.1337	1.7837	0.5902
9/21/15	2.2012	1.8838	0.6837
9/18/15	2.1336	1.8296	0.6632
9/17/15	2.1903	1.9545	0.7807
9/16/15	2.294	1.9418	0.7742
9/15/15	2.2867	1.911	0.7431
9/14/15	2.1831	1.8523	0.655
9/11/15	2.1883	1.8294	0.653
9/10/15	2.222	1.8727	0.6948
9/9/15	2.2006	1.8678	0.6976
9/8/15	2.1828	1.8389	0.6755
9/7/15		1.8057	0.6746
9/4/15	2.1244	1.8259	0.6675
9/3/15	2.1596	1.903	0.7236
9/2/15	2.1843	1.925	0.7817
9/1/15	2.1524	1.9327	0.7968
8/31/15	2.2179		0.7979
8/28/15	2.1806	1.9625	0.7416
8/27/15	2.1841	1.979	0.7422
8/26/15	2.1752	1.9548	0.7043
8/25/15	2.0714	1.9065	0.7296
8/24/15	2.0034	1.8172	0.5923
8/21/15	2.0365	1.6909	0.5636
8/20/15	2.0679	1.763	0.5824
8/19/15	2.1256	1.8336	0.6192
8/18/15	2.1925	1.8751	0.6422
8/17/15	2.1678	1.8171	0.627
8/14/15	2.1977	1.877	0.6602
8/13/15	2.1854	1.8398	0.6298
8/12/15	2.148	1.794	0.6047
8/11/15	2.1409	1.818	0.6322
8/10/15	2.2269	1.9221	0.6979
8/7/15	2.1623	1.8481	0.6613
8/6/15	2.2214	1.9234	0.7088
8/5/15	2.2699	1.9756	0.754
8/4/15	2.2213	1.873	0.6384
8/3/15	2.148	1.8667	0.6284
7/31/15	2.1801	1.8818	0.6442
7/30/15	2.2589	1.9656	0.6503
7/29/15	2.2859	1.9778	0.7172
7/28/15	2.2499	1.936	0.6893
7/27/15	2.2175	1.9357	0.6909
7/24/15	2.2624	1.9344	0.691
7/23/15	2.2677	2.0089	0.742
7/22/15	2.3235	2.0301	0.7473
7/21/15	2.3253	2.0861	0.7806
7/20/15	2.3723	2.0611	0.7622
7/17/15	2.3469	2.0783	0.7884
7/16/15	2.3503	2.0757	0.8326
7/15/15	2.3521	2.1157	0.8281
7/14/15	2.401	2.1229	0.8367
7/13/15	2.4538	2.1185	0.8549
7/10/15	2.3972	2.0803	0.8977
7/9/15	2.3211	1.9534	0.7191
7/8/15	2.1922	1.8917	0.6709
7/7/15	2.2582	1.8329	0.6432
7/6/15	2.285	2.0047	0.7643
7/3/15		1.9969	0.7906
7/2/15	2.3823	2.0793	0.8452
7/1/15	2.4219	2.105	0.8134
6/30/15	2.3531	2.0241	0.7644
6/29/15	2.3242	2.0737	0.7956
6/26/15	2.4726	2.1866	0.9223
6/25/15	2.4088	2.144	0.8616
6/24/15	2.3672	2.1316	0.8442
6/23/15	2.4087	2.1086	0.8723
6/22/15	2.3725	2.0977	0.8838
6/19/15	2.2577	2.0047	0.7517
6/18/15	2.3345	2.0414	0.8075
6/17/15	2.3165	2.0615	0.8084
6/16/15	2.3093	1.9877	0.7978
6/15/15	2.3559	2.023	0.8247
6/12/15	2.3918	1.988	0.8345
6/11/15	2.3772	2.0475	0.884
6/10/15	2.4838	2.1284	0.9814
6/9/15	2.4384	2.0981	0.95
6/8/15	2.3824	2.045	0.879
6/5/15	2.4076	2.0794	0.8442
6/4/15	2.307	2.0337	0.8381
6/3/15	2.3642	2.0785	0.8824
6/2/15	2.2624	1.9802	0.7141
6/1/15	2.1794	1.8482	0.5413
5/29/15	2.1214	1.8135	0.4873
5/28/15	2.1355	1.8243	0.5301
5/27/15	2.1285	1.8823	0.554
5/26/15	2.139	1.8752	0.5466
5/25/15			0.6056
5/22/15	2.2092	1.9281	0.604
5/21/15	2.1898	1.9749	0.6398
5/20/15	2.2479	1.978	0.6317
5/19/15	2.2886	1.9473	0.5948
5/18/15	2.2337	1.9514	0.6487
5/15/15	2.1424	1.8799	0.6241
5/14/15	2.2301	1.9824	0.7017
5/13/15	2.2926	2.0209	0.7242
5/12/15	2.2489	1.9842	0.6747
5/11/15	2.2797	1.9487	0.61
5/8/15	2.1478	1.876	0.5469
5/7/15	2.18	1.9212	0.5898
5/6/15	2.2431	1.9838	0.586
5/5/15	2.1853	1.9703	0.5157
5/4/15	2.144		0.4533
5/1/15	2.1135	1.8419	
4/30/15	2.0317	1.8336	0.3655
4/29/15	2.0388	1.8333	0.2847
4/28/15	2.0034	1.695	0.1628
4/27/15	1.9208	1.691	0.1618
4/24/15	1.9086	1.6477	0.1554
4/23/15	1.9577	1.6906	0.1651
4/22/15	1.9788	1.714	0.1648
4/21/15	1.9087	1.5668	0.1005
4/20/15	1.8896	1.5671	0.0746
4/17/15	1.8653	1.5838	0.0777
4/16/15	1.8897	1.6071	0.0848
4/15/15	1.888	1.5596	0.1072
4/14/15	1.8985	1.5143	0.1379
4/13/15	1.9272	1.5929	0.1566
4/10/15	1.9473	1.5796	0.1552
4/9/15	1.9596	1.5711	0.1598
4/8/15	1.9047	1.5793	0.1626
4/7/15	1.8848	1.5829	0.1863
4/6/15	1.8952		
4/2/15	1.9117	1.5925	0.1945
4/1/15	1.8573	1.5408	0.1669
3/31/15	1.9231	1.5764	0.1804
3/30/15	1.9475	1.5767	0.2056
3/27/15	1.9615	1.5421	0.2072
3/26/15	1.9894	1.5829	0.2154
3/25/15	1.925	1.4805	0.2201
3/24/15	1.8731	1.5052	0.2353
3/23/15	1.912	1.5101	0.2238
3/20/15	1.9303	1.5164	0.1842
3/19/15	1.9685	1.5334	0.1868
3/18/15	1.9199	1.5958	0.197
3/17/15	2.0507	1.6842	0.2818
3/16/15	2.0717	1.676	0.2793
3/13/15	2.114	1.709	0.2571
3/12/15	2.1156	1.7408	0.2476
3/11/15	2.1086	1.8132	0.2091
3/10/15	2.1297	1.7964	0.2343
3/9/15	2.1907	1.9345	0.3121
3/6/15	2.2414	1.9481	0.3931
3/5/15	2.1154	1.859	0.3482
3/4/15	2.1172	1.8758	0.383
3/3/15	2.1189	1.8428	0.3621
3/2/15	2.082	1.7873	0.3555
2/27/15	1.993	1.7959	0.3282
2/26/15	2.0295	1.7321	0.2979
2/25/15	1.9688	1.7182	0.3253
2/24/15	1.98	1.7626	0.3746
2/23/15	2.0574	1.7995	0.365
2/20/15	2.1117	1.7647	0.3665
2/19/15	2.1142	1.8224	0.3798
2/18/15	2.08	1.8484	0.3809
2/17/15	2.1379	1.7605	0.3718
2/16/15		1.6864	0.3343
2/13/15	2.0504	1.6764	0.342
2/12/15	1.9844	1.6637	0.3193
2/11/15	2.0176	1.6742	0.3553
2/10/15	1.9967	1.6658	0.37
2/9/15	1.9775	1.6102	0.3548
2/6/15	1.9567	1.6465	0.3746
2/5/15	1.8204	1.5462	0.366
2/4/15	1.7513	1.5322	0.3667
2/3/15	1.7915	1.462	0.3455
2/2/15	1.6642	1.3762	0.3134
1/30/15	1.6407	1.3301	0.3024
1/29/15	1.7512	1.4205	0.3587
1/28/15	1.7207	1.4592	0.3533
1/27/15	1.8231	1.4833	0.3826
1/26/15	1.8241	1.5127	0.3952
1/23/15	1.7968	1.4776	0.362
1/22/15	1.8631	1.5165	0.4475
1/21/15	1.8717	1.5052	0.524
1/20/15	1.788	1.5335	0.4491
1/19/15		1.527	0.4394
1/16/15	1.8368	1.5342	0.4537
1/15/15	1.7149	1.5092	0.474
1/14/15	1.8553	1.5116	0.424
1/13/15	1.9	1.5844	0.4766
1/12/15	1.907	1.5746	0.4783
1/9/15	1.9449	1.5998	0.492
1/8/15	2.0179	1.6459	0.5099
1/7/15	1.9677	1.6153	0.4842
1/6/15	1.9402	1.5631	0.4459
1/5/15	2.032	1.6697	0.5173
1/2/15	2.1105	1.7176	0.4976
12/31/14	2.1712	1.7559	0.5405
12/30/14	2.1871	1.7903	0.5399
12/29/14	2.2021	1.8175	0.5443
12/26/14	2.2499		
12/24/14	2.2632	1.8812	0.5894
12/23/14	2.2614	1.8487	0.5916
12/22/14	2.1583	1.8224	0.6006
12/19/14	2.1618	1.8497	0.5923
12/18/14	2.2075	1.8698	0.6165
12/17/14	2.1356	1.7714	0.5922
12/16/14	2.0591	1.7754	0.596
12/15/14	2.1182	1.8009	0.6228
12/12/14	2.0817	1.8	0.624
12/11/14	2.162	1.9076	0.6772
12/10/14	2.1638	1.9106	0.6811
12/9/14	2.2129	1.888	0.6854
12/8/14	2.257	1.961	0.7129
12/5/14	2.3065	2.0186	0.7803
12/4/14	2.2341	1.9879	0.7735
12/3/14	2.2799	2.0127	0.7482
12/2/14	2.2923	1.9692	0.7414
12/1/14	2.235	1.8978	0.7277
11/28/14	2.164	1.9262	0.7004
11/27/14		1.923	0.7005
11/26/14	2.2447	1.9796	0.7355
11/25/14	2.257	2.0093	0.7482
11/24/14	2.3064	2.0466	0.7806
11/21/14	2.3099	2.0479	0.7695
11/20/14	2.3373	2.0945	0.7987
11/19/14	2.3594	2.1409	0.8483
11/18/14	2.3151	2.1195	0.7968
11/17/14	2.3399	2.1197	0.8022
11/14/14	2.3204	2.116	0.7853
11/13/14	2.3399	2.181	0.7991
11/12/14	2.3712	2.1917	0.8099
11/11/14		2.2362	0.8264
11/10/14	2.3604	2.2052	0.8344
11/7/14	2.2976	2.202	0.8169
11/6/14	2.3856	2.2446	0.8276
11/5/14	2.3424	2.2603	0.8266
11/4/14	2.3335	2.2282	0.8071
11/3/14	2.3425	2.2733	0.8527
10/31/14	2.3353	2.2473	0.8406
10/30/14	2.3058	2.2244	0.8454
10/29/14	2.3174	2.2556	0.8981
10/28/14	2.296	2.2357	0.8769
10/27/14	2.2605	2.2066	0.8684
10/24/14	2.2685	2.2305	0.8918
10/23/14	2.2712	2.2419	0.9025
10/22/14	2.2164	2.2122	0.8712
10/21/14	2.2217	2.1716	0.8712
10/20/14	2.1909	2.1503	0.8485
10/17/14	2.1936	2.1895	0.8586
10/16/14	2.1559	2.0952	0.8196
10/15/14	2.1358	1.9553	0.7557
10/14/14	2.1973	2.1272	0.8382
10/13/14		2.1673	0.8948
10/10/14	2.2804	2.2168	0.8874
10/9/14	2.3133	2.2619	0.9055
10/8/14	2.3213	2.2637	0.9072
10/7/14	2.3391	2.2892	0.9056
10/6/14	2.4196	2.3549	0.9062
10/3/14	2.434	2.3891	0.9253
10/2/14	2.425	2.3247	0.9025
10/1/14	2.3856	2.3593	0.9015
9/30/14	2.4888	2.4253	0.9466
9/29/14	2.4771	2.44	0.9637
9/26/14	2.5276	2.4681	0.9717
9/25/14	2.5022	2.4448	0.9727
9/24/14	2.5637	2.4808	1.0037
9/23/14	2.5275	2.4854	1.0128
9/22/14	2.5636	2.4944	1.0101
9/19/14	2.5745	2.5436	1.0427
9/18/14	2.6144	2.5755	1.0814
9/17/14	2.6198	2.5173	1.0497
9/16/14	2.5924	2.5236	1.0609
9/15/14	2.5887	2.5422	1.0668
9/12/14	2.6105	2.5287	1.0823
9/11/14	2.5496	2.4974	1.0405
9/10/14	2.5414	2.5053	1.0469
9/9/14	2.5036	2.4796	0.9964
9/8/14	2.4712	2.4774	0.9531
9/5/14	2.4587	2.4629	0.9284
9/4/14	2.4497	2.494	0.9697
9/3/14	2.3962	2.4727	0.9551
9/2/14	2.4211	2.4404	0.9308
9/1/14		2.3833	0.8821
8/29/14	2.3431	2.3684	0.8901
8/28/14	2.3361	2.3715	0.8835
8/27/14	2.3573	2.3726	0.9098
8/26/14	2.3962	2.4492	0.9392
8/25/14	2.382		0.9477
8/22/14	2.4024	2.4047	0.9821
8/21/14	2.4068	2.3965	0.9928
8/20/14	2.4264	2.4176	0.9898
8/19/14	2.3997	2.4007	1.0007
8/18/14	2.3927	2.4275	1.0141
8/15/14	2.3397	2.3263	0.9531
8/14/14	2.4015	2.4416	1.0175
8/13/14	2.4166	2.4409	1.0266
8/12/14	2.4491	2.4827	1.0587
8/11/14	2.4275	2.4902	1.0589
8/8/14	2.4203	2.4601	1.0531
8/7/14	2.4114	2.4818	1.0617
8/6/14	2.4708	2.5142	1.1011
8/5/14	2.4844	2.5795	1.1671
8/4/14	2.4817	2.5373	1.1346
8/1/14	2.4925	2.5479	1.1309
7/31/14	2.5578	2.6017	1.155
7/30/14	2.5569	2.5966	1.1701
7/29/14	2.4601	2.5462	1.1197
7/28/14	2.4853	2.5775	1.148
7/25/14	2.4655	2.5699	1.1465
7/24/14	2.5025	2.6061	1.177
7/23/14	2.4655	2.5538	1.1456
7/22/14	2.4601	2.5851	1.1662
7/21/14	2.4674	2.5662	1.1476
7/18/14	2.4809	2.5705	1.1546
7/17/14	2.4458	2.5859	1.1489
7/16/14	2.526	2.6513	1.191
7/15/14	2.5468	2.6436	1.2036
7/14/14	2.5468	2.6038	1.209
7/11/14	2.516	2.6006	1.2027
7/10/14	2.5359	2.6267	1.1985
7/9/14	2.5503	2.6593	1.2279
7/8/14	2.5557	2.6466	1.2185
7/7/14	2.611	2.7261	1.2555
7/4/14		2.7571	1.2652
7/3/14	2.6383	2.7503	1.2889
7/2/14	2.6264	2.7508	1.2868
7/1/14	2.5647	2.7051	1.2468
6/30/14	2.5304	2.6697	1.2453
6/27/14	2.534	2.64	1.2625
6/26/14	2.5286	2.6359	1.2454
6/25/14	2.5592	2.6459	1.261
6/24/14	2.5781	2.7339	1.3202
6/23/14	2.6261	2.7382	1.3224
6/20/14	2.6052	2.7602	1.3434
6/19/14	2.6206	2.7352	1.3214
6/18/14	2.5844	2.7401	1.3748
6/17/14	2.6523	2.7766	1.3997
6/16/14	2.597	2.7531	1.3539
6/13/14	2.6033	2.7454	1.3625
6/12/14	2.5951	2.7166	1.3869
6/11/14	2.6394	2.7115	1.3972
6/10/14	2.6439	2.7201	1.4043
6/9/14	2.6032	2.6993	1.3789
6/6/14	2.5869	2.6547	1.3531
6/5/14	2.5824	2.6775	1.4049
6/4/14	2.6021	2.6981	1.4325
6/3/14	2.5985	2.6467	1.4077
6/2/14	2.5267	2.6142	1.3695
5/30/14	2.4759	2.57	1.3577
5/29/14	2.4644	2.5414	1.354
5/28/14	2.4431	2.5481	1.3379
5/27/14	2.5142	2.6416	1.389
5/26/14			1.4165
5/23/14	2.532	2.6352	1.4133
5/22/14	2.5499	2.6529	1.408
5/21/14	2.532	2.6447	1.4242
5/20/14	2.5106	2.6098	1.3508
5/19/14	2.5445	2.5875	1.3429
5/16/14	2.5231	2.5639	1.33
5/15/14	2.4893	2.5243	1.3059
5/14/14	2.5427	2.5827	1.3686
5/13/14	2.6089	2.6824	1.4209
5/12/14	2.6611	2.7335	1.4645
5/9/14	2.6233	2.6847	1.4553
5/8/14	2.6161	2.644	1.4461
5/7/14	2.5878	2.6575	1.4734
5/6/14	2.5914	2.6574	1.46
5/5/14	2.6068		1.4585
5/2/14	2.5843	2.6424	1.4493
5/1/14	2.6133	2.6352	
4/30/14	2.6459	2.663	1.469
4/29/14	2.6913	2.6864	1.499
4/28/14	2.7004	2.664	1.4971
4/25/14	2.6623	2.6385	1.4836
4/24/14	2.6805	2.6915	1.5295
4/23/14	2.6987	2.6777	1.5224
4/22/14	2.7105	2.7111	1.5335
4/21/14	2.7151		
4/17/14	2.7215	2.6676	1.515
4/16/14	2.6282	2.6356	1.4846
4/15/14	2.6283	2.6011	1.4716
4/14/14	2.6472	2.6366	1.5263
4/11/14	2.6247	2.6114	1.5036
4/10/14	2.6474	2.6191	1.5205
4/9/14	2.6898	2.6898	1.5751
4/8/14	2.6808	2.694	1.5572
4/7/14	2.6998	2.6637	1.5393
4/4/14	2.7207	2.6857	1.553
4/3/14	2.7972	2.7541	1.6033
4/2/14	2.8045	2.7745	1.616
4/1/14	2.7525	2.7321	1.5729
3/31/14	2.718	2.7357	1.5658
3/28/14	2.7208	2.7239	1.5484
3/27/14	2.681	2.6754	1.536
3/26/14	2.6919	2.6993	1.5676
3/25/14	2.748	2.7078	1.577
3/24/14	2.7281	2.6862	1.5781
3/21/14	2.7426	2.7465	1.6312
3/20/14	2.7716	2.7666	1.646
3/19/14	2.7725	2.6967	1.599
3/18/14	2.6722	2.6769	1.567
3/17/14	2.6921	2.6823	1.5665
3/14/14	2.6543	2.6645	1.5459
3/13/14	2.6446	2.6874	1.5411
3/12/14	2.73	2.7519	1.596
3/11/14	2.768	2.7827	1.6381
3/10/14	2.777	2.7962	1.6245
3/7/14	2.7879	2.7942	1.653
3/6/14	2.7373	2.7666	1.647
3/5/14	2.7048	2.7191	1.605
3/4/14	2.6977	2.6975	1.5981
3/3/14	2.6012	2.6454	1.551
2/28/14	2.6476	2.7193	1.6243
2/27/14	2.6387	2.6755	1.5624
2/26/14	2.6655	2.725	1.6167
2/25/14	2.7023	2.7438	1.6457
2/24/14	2.7382	2.7745	1.6796
2/21/14	2.731	2.7811	1.6621
2/20/14	2.7509	2.7979	1.69
2/19/14	2.7392	2.7308	1.6605
2/18/14	2.7069	2.746	1.6671
2/17/14		2.7821	1.6841
2/14/14	2.7428	2.7936	1.6792
2/13/14	2.732	2.7907	1.6672
2/12/14	2.7608	2.8189	1.7153
2/11/14	2.725	2.742	1.6864
2/10/14	2.6674	2.7192	1.6799
2/7/14	2.6829	2.7124	1.6614
2/6/14	2.7003	2.7468	1.6957
2/5/14	2.6675	2.6888	1.6359
2/4/14	2.6294	2.7008	1.6501
2/3/14	2.5761	2.6891	1.6436
1/31/14	2.644	2.7067	1.6594
1/30/14	2.6949	2.7514	1.7149
1/29/14	2.6767	2.7617	1.7417
1/28/14	2.7488	2.8062	1.6765
1/27/14	2.7479	2.7748	1.6648
1/24/14	2.715	2.7723	1.6582
1/23/14	2.7772	2.8098	1.7089
1/22/14	2.8656	2.886	1.757
1/21/14	2.8286	2.8341	1.7385
1/20/14		2.8284	1.7414
1/17/14	2.8194	2.8307	1.7533
1/16/14	2.8414	2.8106	1.7794
1/15/14	2.8912	2.8633	1.8249
1/14/14	2.8709	2.8342	1.8137
1/13/14	2.8257	2.8279	1.8171
1/10/14	2.8579	2.8726	1.8428
1/9/14	2.9652	2.9828	1.9148
1/8/14	2.9894	2.9733	1.9039
1/7/14	2.9391	2.9502	1.8863
1/6/14	2.9576	2.9723	1.9069
1/3/14	2.9948	3.0244	1.9436
1/2/14	2.989	3.0269	1.9407
12/31/13	3.0282	3.0223	1.9287
12/30/13	2.9703	3.0331	1.9305
12/27/13	3	3.0741	1.9557
